CellID,Operation Type,OperationID,ProcessID,FailureID,Feature translated,Operator Number,Features,TraceabilityCode,Shift
15,Operation A,226,14434991,151411,UNSTABLE,84081,74,287990,C
15,Operation A,226,14660393,171987,UNSTABLE,,74,304748,A
15,Operation A,226,14793943,174374,UNSTABLE,84947,74,314532,A
15,Operation A,227,14498169,153870,UNSTABLE,84073,74,293205,B
15,Operation A,227,14557538,154979,UNSTABLE,84081,74,297214,B
15,Operation A,227,14558175,154999,UNSTABLE,84081,74,297257,B
15,Operation A,227,14585879,155431,UNSTABLE,84947,74,299250,B
15,Operation A,227,15227546,191497,UNSTABLE,85166,74,354076,B
15,Operation A,227,15559493,199361,UNSTABLE,84073,74,395872,B
15,Operation B,228,15551624,199299,UNSTABLE,,4,395004,A
15,Operation B,228,15551654,199301,UNSTABLE,,4,395006,A
16,Operation A,230,14356366,148313,UNSTABLE,,53,282705,B
16,Operation A,230,14356621,148324,UNSTABLE,,53,282722,B
16,Operation A,230,14356651,148325,UNSTABLE,,53,282724,B
16,Operation A,230,14356681,148326,UNSTABLE,,53,282726,B
16,Operation A,230,14406455,149966,UNSTABLE,84460,53,286061,B
16,Operation A,230,14502130,153908,UNSTABLE,83757,53,293468,B
16,Operation A,230,14502145,153909,UNSTABLE,83757,53,293469,B
16,Operation A,230,14505467,153956,UNSTABLE,84073,53,293691,B
16,Operation A,230,14524953,154217,UNSTABLE,,53,294996,A
16,Operation A,230,14577935,155330,UNSTABLE,83757,53,298680,A
16,Operation A,230,14577935,155331,UNSTABLE,83757,53,298680,A
16,Operation A,230,14610339,155746,UNSTABLE,84562,53,301375,B
16,Operation A,230,15386913,196625,UNSTABLE,84460,53,377020,B
16,Operation A,230,15500924,198925,UNSTABLE,,53,389065,A
16,Operation A,230,15560964,199372,UNSTABLE,,53,396035,B
16,Operation A,230,15565554,199410,UNSTABLE,84947,53,396512,B
16,Operation A,230,15670787,200385,UNSTABLE,83757,53,409643,A
16,Operation A,230,15670787,200386,UNSTABLE,83757,53,409643,A
16,Operation A,230,15772552,201089,UNSTABLE,84081,53,421291,B
16,Operation A,231,14355768,148285,UNSTABLE,,55,282659,B
16,Operation A,231,15156819,188747,UNSTABLE,,55,347374,A
16,Operation A,231,15197153,190490,UNSTABLE,,55,351263,B
16,Operation A,231,15539727,199224,UNSTABLE,84460,55,393551,C
16,Operation A,231,15601376,199764,UNSTABLE,84562,55,400658,C
16,Operation A,231,15635030,200102,UNSTABLE,84562,55,404480,C
16,Operation A,231,15688848,200535,UNSTABLE,85166,55,411910,B
16,Operation A,231,15726455,200801,UNSTABLE,83553,55,416282,C
16,Operation A,231,15743960,200932,UNSTABLE,84562,55,418163,B
16,Operation A,232,14355050,148270,UNSTABLE,,55,282611,B
16,Operation A,232,14355573,148276,UNSTABLE,84842,55,282646,B
16,Operation A,232,14399460,149309,UNSTABLE,83758,55,285594,A
16,Operation A,232,14438454,151452,UNSTABLE,,55,288221,A
16,Operation A,232,14711379,172634,UNSTABLE,84562,55,308258,A
16,Operation A,232,14711379,172635,UNSTABLE,84562,55,308258,A
16,Operation A,232,14716272,172724,UNSTABLE,84562,55,308675,A
16,Operation A,232,14716272,172725,UNSTABLE,84562,55,308675,A
16,Operation A,232,14717498,172767,UNSTABLE,,55,308778,B
16,Operation A,232,15573141,199552,UNSTABLE,84081,55,397232,C
16,Operation A,232,15613711,199879,UNSTABLE,84460,55,402069,A
16,Operation A,232,15712200,200716,UNSTABLE,84081,55,414711,B
16,Operation A,232,15712200,200717,UNSTABLE,84081,55,414711,B
16,Operation A,233,14364455,148466,UNSTABLE,,56,283245,C
16,Operation A,233,14365069,148487,UNSTABLE,,56,283286,C
16,Operation A,233,14928962,183864,UNSTABLE,,56,327413,B
16,Operation A,233,15390425,196639,UNSTABLE,83757,56,377304,C
16,Operation A,233,15717174,200757,UNSTABLE,84947,56,415245,B
17,Operation A,235,14552321,154814,UNSTABLE,84081,6,296856,B
17,Operation A,235,14552321,154815,UNSTABLE,84081,6,296856,B
17,Operation A,235,14702407,172487,UNSTABLE,,6,307595,C
17,Operation A,235,14743094,173172,UNSTABLE,84081,6,310831,A
17,Operation A,235,15023989,185337,UNSTABLE,,6,335617,B
17,Operation A,235,15096203,187472,UNSTABLE,,6,341264,A
17,Operation A,235,15183514,190121,UNSTABLE,,6,349951,A
17,Operation A,235,15185063,190167,UNSTABLE,,6,350094,A
17,Operation A,235,15423764,196723,UNSTABLE,,6,380334,C
17,Operation A,235,15582452,199616,UNSTABLE,84460,6,398471,A
17,Operation A,235,15687071,200518,UNSTABLE,85166,6,411686,B
17,Operation A,235,15739250,200896,UNSTABLE,84562,6,417689,A
17,Operation A,235,15747845,200954,UNSTABLE,84562,6,418542,B
17,Operation A,236,14411014,150586,UNSTABLE,,8,286379,A
17,Operation A,236,14411014,150587,UNSTABLE,,8,286379,A
17,Operation A,236,14411014,150588,UNSTABLE,,8,286379,A
17,Operation A,236,14411014,150589,UNSTABLE,,8,286379,A
17,Operation A,236,14548816,154749,UNSTABLE,83757,8,296621,A
17,Operation A,236,14572351,155228,UNSTABLE,,8,298210,A
17,Operation A,236,14600459,155621,UNSTABLE,,8,300226,A
17,Operation A,236,14603919,155666,UNSTABLE,84073,8,300674,A
17,Operation A,236,14639870,156176,UNSTABLE,,8,303362,B
17,Operation A,236,14656817,171952,UNSTABLE,,8,304508,C
17,Operation A,236,14717465,172766,UNSTABLE,,8,308775,A
17,Operation A,236,15516121,199025,UNSTABLE,,8,390784,A
18,Operation A,238,14315243,146909,UNSTABLE,,22,279865,B
18,Operation A,238,14319856,147003,UNSTABLE,84842,22,280178,B
18,Operation A,238,14319856,147004,UNSTABLE,84842,22,280178,B
18,Operation A,238,14319856,147005,UNSTABLE,84842,22,280178,B
18,Operation A,238,14319856,147006,UNSTABLE,84842,22,280178,B
18,Operation A,238,14319856,147007,UNSTABLE,84842,22,280178,B
18,Operation A,238,14319856,147008,UNSTABLE,84842,22,280178,B
18,Operation A,238,14350717,147752,UNSTABLE,,22,282321,B
18,Operation A,238,14350717,147753,UNSTABLE,,22,282321,B
18,Operation A,238,14350777,147756,UNSTABLE,,22,282325,B
18,Operation A,238,14350777,147757,UNSTABLE,,22,282325,B
18,Operation A,238,14350792,147758,UNSTABLE,,22,282326,B
18,Operation A,238,14350792,147759,UNSTABLE,,22,282326,B
18,Operation A,238,14350792,147760,UNSTABLE,,22,282326,B
18,Operation A,238,14364937,148484,UNSTABLE,84081,22,283277,C
18,Operation A,238,14376227,148672,UNSTABLE,,22,284037,B
18,Operation A,238,14376377,148675,UNSTABLE,,22,284047,B
18,Operation A,238,14377536,148698,UNSTABLE,,22,284125,B
18,Operation A,238,14380664,148785,UNSTABLE,,22,284334,B
18,Operation A,238,14408124,150441,UNSTABLE,,22,286186,A
18,Operation A,238,14411765,150610,UNSTABLE,,22,286429,A
18,Operation A,238,14431426,151369,UNSTABLE,,22,287752,C
18,Operation A,238,14434770,151410,UNSTABLE,84081,22,287975,C
18,Operation A,238,14451589,151864,UNSTABLE,83757,22,289118,B
18,Operation A,238,14466276,153233,UNSTABLE,84947,22,291036,C
18,Operation A,238,14472866,153330,UNSTABLE,84947,22,291478,C
18,Operation A,238,14472866,153331,UNSTABLE,84947,22,291478,C
18,Operation A,238,14476315,153351,UNSTABLE,84081,22,291709,C
18,Operation A,238,14480246,153429,UNSTABLE,84460,22,291973,A
18,Operation A,238,14514853,154109,UNSTABLE,,22,294320,A
18,Operation A,238,14517535,154129,UNSTABLE,,22,294499,A
18,Operation A,238,14519485,154158,UNSTABLE,,22,294629,A
18,Operation A,238,14520216,154161,UNSTABLE,,22,294678,A
18,Operation A,238,14520216,154162,UNSTABLE,,22,294678,A
18,Operation A,238,14527756,154243,UNSTABLE,83757,22,295183,B
18,Operation A,238,14529511,154285,UNSTABLE,83757,22,295300,B
18,Operation A,238,14541147,154588,UNSTABLE,,22,296091,A
18,Operation A,238,14541282,154591,UNSTABLE,,22,296100,A
18,Operation A,238,14541297,154592,UNSTABLE,,22,296101,A
18,Operation A,238,14541297,154593,UNSTABLE,,22,296101,A
18,Operation A,238,14541417,154595,UNSTABLE,,22,296109,A
18,Operation A,238,14541417,154596,UNSTABLE,,22,296109,A
18,Operation A,238,14551996,154809,UNSTABLE,,22,296834,B
18,Operation A,238,14552202,154813,UNSTABLE,84081,22,296848,B
18,Operation A,238,14558478,155010,UNSTABLE,84562,22,297277,B
18,Operation A,238,14559779,155026,UNSTABLE,84947,22,297367,B
18,Operation A,238,14580298,155384,UNSTABLE,,22,298838,B
18,Operation A,238,14580298,155385,UNSTABLE,,22,298838,B
18,Operation A,238,14580313,155387,UNSTABLE,,22,298839,B
18,Operation A,238,14581291,155393,UNSTABLE,,22,298907,B
18,Operation A,238,14596142,155563,UNSTABLE,,22,299934,C
18,Operation A,238,14610671,155747,UNSTABLE,84562,22,301397,B
18,Operation A,238,14616223,155826,UNSTABLE,,22,301769,B
